TEST-EINR
BioMate 3S v4.000I 2K6N070003

Kinetik                     1:26 13Aug13
Testbez.                          ------
Messmodus                     Absorption
Wellenlnge                      436.0nm
Ref.-Wellenlg.korrektur              Aus
Delay-Zeit (min:sec)                0:00
Intervallzeit (min:sek)             0:01
Gesamtlaufzeit(hr:min:sec)       0:05:00
Zeige Ergebnis                       Ein
Faktor                             1.000
Einheitn                               C
Linearittswert                    0.005
Probenposition            Einfachhalter-
ID# (0=AUS)                            1
Untere/Obere Grenze           -9999/9999
Auto Speichern                       Aus


HH:MM:SS   Abs    Delta   Lin
--------  ------  ------  ---
 0:00:00   0.116  ------  ---
 0:00:01   0.139   0.023  ---
 0:00:02   0.163   0.024   L 
 0:00:03   0.187   0.024   L 
 0:00:04   0.211   0.024   L 
 0:00:05   0.236   0.025   L 
 0:00:06   0.260   0.024   L 
 0:00:07   0.284   0.024   L 
 0:00:08   0.309   0.025   L 
 0:00:09   0.333   0.024   L 
 0:00:10   0.358   0.025   L 
 0:00:11   0.382   0.024   L 
 0:00:12   0.407   0.025   L 
 0:00:13   0.431   0.024   L 
 0:00:14   0.456   0.025   L 
 0:00:16   0.480   0.024   L 
 0:00:17   0.504   0.024   L 
 0:00:18   0.528   0.024   L 
 0:00:19   0.552   0.024   L 
 0:00:20   0.576   0.024   L 
 0:00:21   0.599   0.023   L 
 0:00:22   0.623   0.024   L 
 0:00:23   0.646   0.023   L 
 0:00:24   0.669   0.023   L 
 0:00:25   0.692   0.023   L 
 0:00:26   0.715   0.023   L 
 0:00:27   0.737   0.022   L 
 0:00:28   0.759   0.022   L 
 0:00:29   0.781   0.022   L 
 0:00:30   0.803   0.022   L 
 0:00:31   0.824   0.021   L 
 0:00:32   0.846   0.022   L 
 0:00:33   0.867   0.021   L 
 0:00:34   0.888   0.021   L 
 0:00:35   0.909   0.021   L 
 0:00:36   0.929   0.020   L 
 0:00:37   0.949   0.020   L 
 0:00:38   0.968   0.019   L 
 0:00:39   0.987   0.019   L 
 0:00:40   1.006   0.019   L 
 0:00:41   1.024   0.018   L 
 0:00:42   1.042   0.018   L 
 0:00:43   1.059   0.017   L 
 0:00:44   1.077   0.018   L 
 0:00:45   1.094   0.017   L 
 0:00:46   1.110   0.016   L 
 0:00:47   1.127   0.017   L 
 0:00:48   1.143   0.016   L 
 0:00:49   1.159   0.016   L 
 0:00:50   1.175   0.016   L 
 0:00:51   1.190   0.015   L 
 0:00:52   1.205   0.015   L 
 0:00:53   1.219   0.014   L 
 0:00:54   1.233   0.014   L 
 0:00:55   1.246   0.013   L 
 0:00:56   1.259   0.013   L 
 0:00:57   1.272   0.013   L 
 0:00:58   1.284   0.012   L 
 0:00:59   1.295   0.011   L 
 0:01:00   1.306   0.011   L 
 0:01:01   1.316   0.010   L 
 0:01:03   1.326   0.010   L 
 0:01:04   1.335   0.009   L 
 0:01:05   1.343   0.008   L 
 0:01:06   1.350   0.007   L 
 0:01:07   1.356   0.006   L 
 0:01:08   1.362   0.006   L 
 0:01:09   1.366   0.004   L 
 0:01:10   1.370   0.004   L 
 0:01:11   1.373   0.003   L 
 0:01:12   1.375   0.002   L 
 0:01:13   1.377   0.002   L 
 0:01:14   1.379   0.002   L 
 0:01:15   1.380   0.001   L 
 0:01:16   1.380   0.000   L 
 0:01:17   1.381   0.001   L 
 0:01:18   1.381   0.000   L 
 0:01:19   1.382   0.001   L 
 0:01:20   1.382   0.000   L 
 0:01:21   1.382   0.000   L 
 0:01:22   1.382   0.000   L 
 0:01:23   1.382   0.000   L 
 0:01:24   1.382   0.000   L 
 0:01:25   1.381  -0.001   L 

       ID#  Abs/Min    Ergebnis   C
         1   0.893      0.893     
